K,N,epsilon,realization,channel_seed,faa_energy_W,fpa_energy_W,faa_energy_dBm,fpa_energy_dBm,faa_energy_saving_pct,faa_iterations,fpa_iterations,faa_converged,fpa_converged,faa_monotone,fpa_monotone,faa_wins,fpa_wins,tie,same_physical_channel
4,4,0.08,13,20664833,0.0004646800051841922,0.0006072471448096847,-3.328460144696885,-2.166345185093511,23.477613825615276,8,17,1,1,1,1,1,0,0,1
4,4,0.08,14,20664834,0.00029430234469196364,0.0005202709895617152,-5.312062778843332,-2.837703897959139,43.43287429116723,6,15,1,1,1,1,1,0,0,1
4,4,0.08,15,20664835,0.0005378162754468228,0.0011052732043160566,-2.6936605925330253,0.43469641334649434,51.34087451440355,8,25,1,0,1,1,1,0,0,1
4,4,0.08,16,20664836,0.0005602077952342761,0.0007840598359335142,-2.5165085230702893,-1.056507926419186,28.550377208483877,6,24,1,1,1,1,1,0,0,1
4,4,0.08,17,20664837,0.0004580856809637355,0.000742572355045166,-3.3905328337263474,-1.2926122299946208,38.31097025745416,8,25,1,0,1,1,1,0,0,1
4,4,0.08,18,20664838,0.0002133791131620299,0.000379878198856259,-6.708480942012603,-4.203556298148702,43.82959753824414,5,13,1,1,1,1,1,0,0,1
4,4,0.08,19,20664839,0.0002461412306353246,0.00047604994831351564,-6.088156323857643,-3.2234747765997467,48.29508300393269,4,11,1,1,1,1,1,0,0,1
4,4,0.08,20,20664840,0.00060228790683776,0.0007668177818667906,-2.2019585681340734,-1.153078247492639,21.45618932159978,8,19,1,1,1,1,1,0,0,1
4,4,0.08,21,20664841,0.00034639832532444456,0.000646812797029695,-4.604242162624011,-1.8922139627274484,46.44535066170908,6,25,1,0,1,1,1,0,0,1
4,4,0.08,22,20664842,0.00020744685509899537,0.00043611896809135647,-6.830931447034356,-3.6039502417669027,52.43342521723563,6,17,1,1,1,1,1,0,0,1
4,4,0.08,23,20664843,0.0006616423352604778,0.0010431899879688286,-1.7937671418436594,0.18363410260203017,36.57508767422639,12,25,1,0,1,1,1,0,0,1
4,4,0.08,24,20664844,0.00038735249383223936,0.0006521618858534735,-4.118936436366044,-1.856445861605496,40.60485559880312,23,17,1,1,1,1,1,0,0,1
4,4,0.08,25,20664845,0.0003255629478382024,0.0003336822130566924,-4.8736502781558295,-4.766669428124215,2.433232848737585,9,16,1,1,1,1,1,0,0,1
4,4,0.08,26,20664846,0.0008767065839403118,0.0011923739342975834,-0.5714573194433967,0.7641247363830437,26.47385532989098,10,25,1,0,1,1,1,0,0,1
4,4,0.08,27,20664847,0.0002569162426245894,0.0005219052544683469,-5.90208438126642,-2.8240833070705924,50.77339413141104,6,13,1,1,1,1,1,0,0,1
4,4,0.08,28,20664848,0.00036079404853481696,0.0006454149575318156,-4.427406349599349,-1.9016097401383438,44.098901904201426,13,25,1,0,1,1,1,0,0,1
4,4,0.08,29,20664849,0.00038258114559896507,0.0010038287920574804,-4.172764367240276,0.01659648062874169,61.8878090939378,7,18,1,1,1,1,1,0,0,1
4,4,0.08,30,20664850,0.00029879796569610306,0.0008431526061736518,-5.24622363650362,-0.7409381325075647,64.56181674488425,13,14,1,1,1,1,1,0,0,1
4,4,0.08,31,20664851,0.00037213976276498974,0.0006642238142819537,-4.2929392356402625,-1.776855577863559,43.97373976010116,9,21,1,1,1,1,1,0,0,1
4,4,0.08,32,20664852,0.000433655741152218,0.000743619724630204,-3.628548996271181,-1.2864909901788653,41.683130935254376,11,17,1,1,1,1,1,0,0,1
4,4,0.08,33,20664853,0.00030582661333237435,0.0004999701252527183,-5.1452472454670275,-3.010559453150136,38.83102251803763,6,25,1,0,1,1,1,0,0,1
4,4,0.08,34,20664854,0.00037360626974612877,0.0005738494309301645,-4.275858441836494,-2.4120204470002533,34.89472157521484,11,24,1,1,1,1,1,0,0,1
4,4,0.08,35,20664855,0.000565552673686781,0.0009135730728004172,-2.475269401175084,-0.39256709565097975,38.094423913659504,7,18,1,1,1,1,1,0,0,1
4,4,0.08,36,20664856,0.0005353943061153342,0.0008617420059375063,-2.7132625181894063,-0.6462273669092532,37.87069651631198,11,17,1,1,1,1,1,0,0,1
4,4,0.08,37,20664857,0.000423301281350934,0.0007106863667746186,-3.7335041689618165,-1.4832201562742409,40.43768093201985,6,19,1,1,1,1,1,0,0,1
4,4,0.08,38,20664858,0.0006033423690203985,0.0010877403870152029,-2.1943617578476244,0.3652525387263802,44.532502771549126,6,13,1,1,1,1,1,0,0,1
